Experiment order,Source.Name,File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g),Density (kg/m3)
10,0405_12.csv,0405_12_mesh_12.ply,81.906,152.442,19.847,4.207,4.483,0.03,366.2735331
18,0408_04.csv,0408_04_mesh_22.ply,96.041,180.795,13.606,6.8,5.695,0.03,312.3665934
6,0403_13.csv,0403_13_mesh_1.ply,83.119,161.933,24.05,4.353,3.018,0.031,372.9592512
6,0404_06.csv,0404_06_mesh_6.ply,78.589,149.508,15.153,5.405,3.444,0.031,394.4572396
14,0407_08.csv,0407_08_mesh_8.ply,91.725,215.708,33.648,7.515,3.483,0.031,337.9667484
12,0406_13.csv,0406_13_mesh_13.ply,105.42,151.538,14.185,3.754,3.959,0.031,294.0618478
18,0408_03.csv,0408_03_mesh_16.ply,89.104,137.202,8.714,5.833,4.54,0.031,347.9080625
18,0408_04.csv,0408_04_mesh_23.ply,82.683,164.797,10.936,6.088,5.037,0.031,374.9259219
14,0407_07.csv,0407_07_mesh_3.ply,118.971,163.985,13.854,4.742,3.795,0.032,268.9731111
16,0407_20.csv,0407_20_mesh_18.ply,127.058,292.681,47.276,5.096,4.976,0.032,251.8534842
12,0406_12.csv,0406_12_mesh_7.ply,113.055,180.788,20.512,6.047,5.63,0.032,283.0480739
4,0403_07.csv,0403_07_mesh_13.ply,62.279,179.021,12.413,5.275,7.884,0.032,513.8168564
20,0408_13.csv,0408_13_mesh_10.ply,176.073,504.534,38.195,8.669,3.808,0.033,187.4222624
16,0407_19.csv,0407_19_mesh_14.ply,114.429,274.009,30.094,10.301,4.586,0.033,288.388433
20,0408_14.csv,0408_14_mesh_37.ply,143.258,176.837,11.559,5.691,4.785,0.033,230.3536277
16,0407_19.csv,0407_19_mesh_21.ply,60.402,203.187,24.819,17.509,3.418,0.034,562.8952684
6,0403_13.csv,0403_13_mesh_3.ply,83.821,228.504,40.75,7.804,3.46,0.034,405.626275
6,0404_07.csv,0404_07_mesh_6.ply,128.086,299.109,42.518,8.804,5.188,0.034,265.446653
18,0408_03.csv,0408_03_mesh_11.ply,138.916,230.204,22.212,9.267,5.972,0.034,244.7522244
20,0409_01.csv,0409_01_mesh_27.ply,109.22,238.16,26.869,9.499,5.976,0.034,311.298297
20,0408_12.csv,0408_12_mesh_8.ply,70.102,212.222,16.101,7.629,2.587,0.035,499.2724887
18,0408_03.csv,0408_03_mesh_24.ply,150.095,235.77,24.185,4.799,3.74,0.035,233.1856491
6,0404_06.csv,0404_06_mesh_7.ply,68.807,188.46,33.789,5.534,4.319,0.035,508.6691761
6,0403_14.csv,0403_14_mesh_10.ply,141.615,196.582,15.911,4.817,4.379,0.035,247.1489602
18,0408_03.csv,0408_03_mesh_3.ply,90.67,163.312,12.396,5.654,4.404,0.035,386.01522
18,0408_03.csv,0408_03_mesh_8.ply,88.067,137.549,10.736,4.755,4.466,0.035,397.424688
6,0404_07.csv,0404_07_mesh_14.ply,108.712,156.42,9.68,5.047,5.292,0.035,321.9515785
16,0407_19.csv,0407_19_mesh_13.ply,100.233,268.178,33.396,12.546,5.578,0.035,349.1863957
20,0408_14.csv,0408_14_mesh_22.ply,45.055,125.925,24.023,4.652,2.963,0.036,799.0234158
18,0408_03.csv,0408_03_mesh_20.ply,120.277,174.674,16.537,3.822,3.698,0.036,299.3090948
