Experiment order,Source.Name,File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g),Density (kg/m3)
1,0330_05.csv,0330_05_mesh_11.ply,135.273,210.626,20.757,4.326,3.612,0.05,369.6229107
5,0403_12.csv,0403_12_mesh_3.ply,194.035,427.728,62.164,17.266,6.241,0.072,371.0670755
1,0330_02.csv,0330_02_mesh_8.ply,355.464,428.938,28.309,5.234,6.592,0.132,371.3456215
13,0407_03.csv,0407_03_mesh_17.ply,64.584,150.521,23.871,3.777,2.77,0.024,371.6090673
15,0407_14.csv,0407_14_mesh_22.ply,77.796,130.431,9.13,8.527,3.636,0.029,372.7698082
17,0407_24.csv,0407_24_mesh_5.ply,292.274,556.462,35.083,42.529,10.64,0.109,372.9377228
19,0408_09.csv,0408_09_mesh_30.ply,50.863,162.927,22.228,8.877,3.302,0.019,373.5524841
3,0331_09.csv,0331_09_mesh_5.ply,377.036,404.906,8.082,30.174,6.379,0.141,373.9695944
13,0407_03.csv,0407_03_mesh_6.ply,96.253,205.257,26.48,10.716,6.517,0.036,374.0143164
1,0330_09.csv,0330_09_mesh.ply,156.953,207.908,8.83,13.211,4.327,0.059,375.9087115
15,0407_12.csv,0407_12_mesh_8.ply,111.671,190.252,14.286,6.643,3.898,0.042,376.1048079
1,0330_06.csv,0330_06_mesh_7.ply,111.567,201.479,22.514,4.988,3.658,0.042,376.4554035
15,0407_13.csv,0407_13_mesh_1.ply,108.874,166.844,9.543,6.992,5.859,0.041,376.5821041
3,0403_01.csv,0403_01_mesh_2.ply,8902.834,4222.57,122.184,21.513,20.837,3.356,376.9586179
1,0330_05.csv,0330_05_mesh_10.ply,129.846,261.141,35.317,4.382,4.047,0.049,377.3701154
1,0330_03.csv,0330_03_mesh_1.ply,731.137,767.271,44.24,14.955,5.314,0.276,377.4942316
17,0407_25.csv,0407_25_mesh_4.ply,92.589,169.02,20.31,3.637,3.174,0.035,378.014667
1,0330_05.csv,0330_05_mesh_12.ply,68.741,141.724,16.197,3.713,2.887,0.026,378.2313321
1,0330_04.csv,0330_04_mesh_4.ply,287.905,367.131,23.236,11.036,5.558,0.109,378.5971067
7,0404_03.csv,0404_03_mesh_9.ply,284.611,559.752,60.141,17.016,9.545,0.108,379.4653053
1,0330_07.csv,0330_07_mesh_18.ply,63.208,229.479,31.776,11.305,3.042,0.024,379.6987723
19,0408_09.csv,0408_09_mesh_24.ply,39.424,105.775,14.379,3.353,2.234,0.015,380.4788961
9,0405_06.csv,0405_06_mesh_8.ply,638.248,778.185,35.098,25.923,7.304,0.243,380.7297477
15,0407_15.csv,0407_15_mesh_2.ply,34.002,102.541,21.766,7.515,2.32,0.013,382.3304511
7,0404_02.csv,0404_02_mesh_4.ply,625.213,664.948,33.682,21.172,9.604,0.24,383.8691774
15,0407_13.csv,0407_13_mesh_13.ply,213.057,281.585,10.27,9.727,9.147,0.082,384.8735315
1,0330_01.csv,0330_01_mesh_1.ply,1058.602,946.847,47.467,11.231,7.221,0.408,385.4139705
1,0330_04.csv,0330_04_mesh_5.ply,111.501,203.136,20.281,3.933,4.131,0.043,385.6467655
9,0405_05.csv,0405_05_mesh_2.ply,4598.617,3277.283,132.065,29.935,23.832,1.775,385.9856126
15,0407_12.csv,0407_12_mesh_11.ply,67.252,137.594,9.961,7.935,3.893,0.026,386.6056028
1,0330_06.csv,0330_06_mesh_6.ply,124.125,296.21,44.564,8.137,3.792,0.048,386.7069486
3,0331_09.csv,0331_09_mesh_2.ply,431.485,631.812,24.781,38.72,12.566,0.167,387.0354705
9,0405_09.csv,0405_09_mesh_3.ply,87.799,161.963,11.788,5.763,4.197,0.034,387.2481463
19,0408_08.csv,0408_08_mesh_2.ply,108.402,270.213,31.989,11.395,4.296,0.042,387.4467261
1,0330_03.csv,0330_03_mesh_6.ply,466.757,548.773,38.962,8.951,5.599,0.181,387.7820793
3,0331_10.csv,0331_10_mesh_9.ply,136.324,325.037,45.503,9.161,4.148,0.053,388.779672
19,0408_09.csv,0408_09_mesh_28.ply,64.178,130.674,15.88,3.44,3.483,0.025,389.5415875
19,0408_08.csv,0408_08_mesh_3.ply,79.565,267.82,32.978,8.242,3.742,0.031,389.6185509
19,0408_09.csv,0408_09_mesh_8.ply,56.351,131.144,17.356,6.862,3.72,0.022,390.4101081
3,0331_09.csv,0331_09_mesh_3.ply,1214.24,1397.642,49.921,85.119,12.072,0.476,392.0147582
5,0403_11.csv,0403_11_mesh_3.ply,1284.233,884.109,34.453,19.025,8.893,0.504,392.4521485
15,0407_11.csv,0407_11_mesh_6.ply,1288.906,909.784,32.833,17.025,16.092,0.506,392.580995
1,0330_03.csv,0330_03_mesh_4.ply,343.362,444.328,36.948,6.825,4.656,0.135,393.1710556
1,0330_05.csv,0330_05_mesh_6.ply,101.361,170.478,17.621,5.147,3.415,0.04,394.629098
1,0330_01.csv,0330_01_mesh_4.ply,320.728,387.847,19.06,6.607,5.261,0.127,395.9741588
17,0407_23.csv,0407_23_mesh_10.ply,976.752,984.661,67.633,16.058,6.62,0.387,396.211116
15,0407_12.csv,0407_12_mesh_6.ply,368.031,422.439,19.136,11.107,6.941,0.146,396.7057123
13,0407_01.csv,0407_01_mesh_8.ply,1797.337,1399.463,60.165,18.067,8.658,0.716,398.3671398
15,0407_15.csv,0407_15_mesh_7.ply,27.603,80.912,12.058,5.874,2.736,0.011,398.5074086
3,0331_09.csv,0331_09_mesh_6.ply,741.353,645.709,8.017,37.136,6.931,0.296,399.2699834
1,0330_04.csv,0330_04_mesh_10.ply,307.639,338.951,15.619,7.738,7.836,0.123,399.8192687
11,0406_03.csv,0406_03_mesh_7.ply,394.806,641,50.633,17.423,7.399,0.158,400.1965522
1,0330_01.csv,0330_01_mesh_7.ply,376.846,579.763,30.936,10.103,5.323,0.151,400.6941828
3,0403_02.csv,0403_02_mesh_8.ply,79.716,215.049,41.129,5.91,3.359,0.032,401.425059
17,0407_24.csv,0407_24_mesh_7.ply,121.995,348.96,15.743,12.227,7.309,0.049,401.6558056
15,0407_10.csv,0407_10_mesh_1.ply,2764.274,2003.571,66.304,36.502,12.447,1.113,402.6373652
1,0330_04.csv,0330_04_mesh_7.ply,846.91,952.968,59.627,14.512,11.956,0.342,403.8209491
15,0407_13.csv,0407_13_mesh_3.ply,258.119,322.812,14.596,9.468,7.542,0.105,406.7891166
15,0407_13.csv,0407_13_mesh_26.ply,237.79,329.571,17.437,9.516,7.185,0.097,407.9229572
9,0405_06.csv,0405_06_mesh_3.ply,387.662,583.125,54.751,13.046,4.276,0.159,410.151111
11,0406_03.csv,0406_03_mesh_12.ply,343.183,573.735,43.619,22.131,7.182,0.141,410.8595123
17,0407_26.csv,0407_26_mesh_23.ply,29.135,85.748,16.595,3.442,2.017,0.012,411.8757508
9,0405_06.csv,0405_06_mesh_10.ply,164.512,272.499,22.35,5.502,5.609,0.068,413.3437074
15,0407_10.csv,0407_10_mesh_6.ply,125.397,271.209,27.831,4.704,4.142,0.052,414.6829669
3,0331_09.csv,0331_09_mesh_4.ply,175.779,320.174,12.662,34.876,6.4,0.073,415.2942047
13,0407_01.csv,0407_01_mesh_11.ply,139.559,291.803,25.843,5.139,4.583,0.058,415.594838
1,0330_06.csv,0330_06_mesh_14.ply,202.049,323.882,22.914,15.771,6.194,0.084,415.7407362
1,0330_06.csv,0330_06_mesh_13.ply,88.959,246.951,40.047,7.256,3.305,0.037,415.9219416
11,0406_06.csv,0406_06_mesh_11.ply,69.51,115.506,9.042,6.649,3.789,0.029,417.2061574
