Source.Name,File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g),Density (kg/m3)
0506_03.csv,0506_03_mesh_12.ply,234.852,254.374,12.409,7.841,7.708,0.079,336.3820619
0507_01.csv,0507_01_mesh_1.ply,1843.706,1550.093,44.018,17.217,9.217,0.62,336.2792115
0507_06.csv,0507_06_mesh_7.ply,1633.326,1273.318,62.126,18.088,8.02,0.547,334.8994628
0507_01.csv,0507_01_mesh_2.ply,2700.215,1460.722,38.007,18.706,12.124,0.902,334.047474
0507_11.csv,0507_11_mesh_1.ply,297.742,362.129,15.601,8.715,6.588,0.099,332.5026365
0506_06.csv,0506_06_mesh_1.ply,45.168,93.195,7.379,5.603,3.625,0.015,332.0935175
0507_14.csv,0507_14_mesh_1.ply,1558.227,1190.325,44.891,12.126,9.357,0.513,329.2203254
0506_07.csv,0506_07_mesh_6.ply,1140.634,940.704,43.475,17.359,8.86,0.375,328.7645292
0507_07.csv,0507_07_mesh_14.ply,441.849,576.419,49.292,9.112,5.451,0.145,328.1664098
0507_03.csv,0507_03_mesh_20.ply,262.078,496.424,41.519,12.056,17.757,0.086,328.1465823
0507_10.csv,0507_10_mesh_11.ply,110.089,157.686,15.996,5.395,3.643,0.036,327.008148
0507_03.csv,0507_03_mesh_5.ply,64.312,190.237,20.053,6.509,2.996,0.021,326.5331509
0506_12.csv,0506_12_mesh_18.ply,64.388,137.023,15.994,4.445,2.517,0.021,326.1477294
0506_01.csv,0506_01_mesh_17.ply,270.034,363.087,24.887,7.75,5.381,0.088,325.8848886
0507_03.csv,0507_03_mesh_23.ply,255.371,361.996,26.638,7.244,10.445,0.083,325.0173277
0506_10.csv,0506_10_mesh_15.ply,261.686,266.259,15.336,6.042,6.111,0.085,324.8167651
0506_08.csv,0506_08_mesh_20.ply,77.064,108.055,11.985,6.568,4.853,0.025,324.4056888
0506_10.csv,0506_10_mesh_6.ply,485.982,446.297,17.307,10.422,9.043,0.157,323.0572326
0507_08.csv,0507_08_mesh_16.ply,52.738,83.782,5.574,4.554,5.402,0.017,322.3482119
0506_04.csv,0506_04_mesh_10.ply,239.268,324.059,27.407,13.321,5.323,0.077,321.8148687
0507_04.csv,0507_04_mesh_16.ply,1136.818,1061.612,55.02,10.183,10.262,0.364,320.1919744
0506_10.csv,0506_10_mesh_8.ply,628.516,528.273,17.434,16.39,7.446,0.201,319.8009279
0507_06.csv,0507_06_mesh_5.ply,1588.241,1024.651,27.334,15.326,12.471,0.507,319.2210754
0507_07.csv,0507_07_mesh_15.ply,269.644,373.544,31.691,12.214,7.65,0.086,318.9390456
0507_11.csv,0507_11_mesh_6.ply,3174.78,2053.233,84.63,16.195,9.002,1.009,317.8172976
0506_10.csv,0506_10_mesh_2.ply,734.826,600.223,20.727,10.811,7.677,0.233,317.081867
0506_07.csv,0506_07_mesh_10.ply,1073.129,758.134,30.159,9.726,8.2,0.34,316.8305022
0506_12.csv,0506_12_mesh_5.ply,160.985,274.591,17.233,8.207,3.849,0.051,316.7997018
0506_03.csv,0506_03_mesh_6.ply,6341.401,3519.347,118.708,25.319,12.641,2.005,316.1761888
0505_01.csv,0505_01_mesh_7.ply,225.34,412.939,33.694,9.113,5.365,0.071,315.0794355
0505_01.csv,0505_01_mesh_6.ply,177.891,218.833,12.797,7.062,5.656,0.056,314.7995121
0506_11.csv,0506_11_mesh_1.ply,600.53,571.404,31.112,15.157,9.855,0.189,314.7219956
0507_03.csv,0507_03_mesh_15.ply,133.641,185.59,7.843,7.785,6.478,0.042,314.2748109
0507_08.csv,0507_08_mesh_20.ply,70.064,103.412,8.358,5.644,3.722,0.022,313.9986298
0506_07.csv,0506_07_mesh_7.ply,718.546,612.503,28.982,9.638,7.497,0.225,313.1323534
0507_09.csv,0507_09_mesh_14.ply,370.906,409.028,20.915,6.835,6.671,0.116,312.7477043
0506_05.csv,0506_05_mesh_3.ply,134.309,206.455,15.326,4.825,4.637,0.042,312.7117319
0507_07.csv,0507_07_mesh_1.ply,307.47,581.164,67.938,18.564,5.362,0.096,312.225583
0506_11.csv,0506_11_mesh_25.ply,342.799,371.921,21.427,9.718,10.114,0.107,312.1362664
0507_14.csv,0507_14_mesh_11.ply,1410.641,914.493,29.401,14.373,10.696,0.44,311.914938
0506_07.csv,0506_07_mesh_11.ply,2459.384,1431.407,56.334,12.595,9.981,0.766,311.4601055
0508_01.csv,0508_01_mesh_22.ply,286.601,435.591,27.654,10.301,5.945,0.089,310.5362507
0506_07.csv,0506_07_mesh_3.ply,1610.339,1115.63,43.188,12.171,10.005,0.5,310.493629
